title,year,minutes,genres,rating,votes,director,cast
Heartbeats,2010,101,"Comedy,Drama,Romance",7,30731,Xavier Dolan,"Xavier Dolan,Monia Chokri,Niels Schneider,Anne Dorval,Anne-Élisabeth Bossé"
Boy,2010,87,"Comedy,Drama",7.5,30530,Taika Waititi,"James Rolleston,Te Aho Eketone-Whitu,Taika Waititi,Moerangi Tihore,Cherilee Martin"
The Conspirator,2010,122,"Crime,Drama,History",6.9,30456,Robert Redford,"Robin Wright,James McAvoy,Tom Wilkinson,Kevin Kline,Evan Rachel Wood"
Three Steps Above Heaven,2010,118,"Action,Drama,Romance",6.7,29954,Fernando González Molina,"Mario Casas,María Valverde,Álvaro Cervantes,Marina Salas,Luis Fernández"
The Perfect Host,2010,93,"Comedy,Crime,Thriller",6.7,29832,Nicholas Tomnay,"David Hyde Pierce,Clayne Crawford,Nathaniel Parker,Tyrees Allen,Cooper Barnes"
Tekken,2010,92,"Action,Crime,Drama",4.8,29019,Dwight H. Little,"Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Ian Anthony Dale,Cung Le"
Heartbreaker,2010,105,"Comedy,Romance",6.7,28020,Pascal Chaumeil,"Romain Duris,Vanessa Paradis,Julie Ferrier,François Damiens,Héléna Noguerra"
Vanishing on 7th Street,2010,92,"Horror,Mystery,Thriller",4.9,27870,Brad Anderson,"Hayden Christensen,Thandiwe Newton,John Leguizamo,Jacob Latimore,Taylor Groothuis"
Certified Copy,2010,106,"Drama,Romance",7.2,27851,Abbas Kiarostami,"Juliette Binoche,William Shimell,Jean-Claude Carrière,Agathe Natanson,Gianna Giachetti"
Little White Lies,2010,154,"Comedy,Drama",7.1,27641,Guillaume Canet,"François Cluzet,Marion Cotillard,Benoît Magimel,Jean Dujardin,Gilles Lellouche"
The Warrior's Way,2010,100,"Action,Drama,Fantasy",6.2,27632,Sngmoo Lee,"Jang Dong-gun,Kate Bosworth,Geoffrey Rush,Danny Huston,Tony Cox"
Room in Rome,2010,107,"Drama,Romance",6,27234,Julio Medem,"Elena Anaya,Natasha Yarovenko,Enrico Lo Verso,Najwa Nimri,Ander Malles"
Barney's Version,2010,134,"Comedy,Drama",7.3,26952,Richard J. Lewis,"Paul Giamatti,Rosamund Pike,Jake Hoffman,Macha Grenon,Paul Gross"
Birdemic: Shock and Terror,2010,105,"Horror,Thriller",1.7,26208,James Nguyen,"Alan Bagh,Whitney Moore,Janae Caster,Colton Osborne,Adam Sessa"
Welcome to the Rileys,2010,110,Drama,6.9,25610,Jake Scott,"James Gandolfini,Kristen Stewart,Melissa Leo,David Jensen,Joe Chrest"
Restrepo,2010,93,"Biography,Documentary,History",7.4,24774,Tim Hetherington,NA
I'm Still Here,2010,108,"Comedy,Drama,Music",6.2,24437,Casey Affleck,"Joaquin Phoenix,Antony Langdon,Carey Perloff,Larry McHale,Casey Affleck"
Cemetery Junction,2010,95,"Comedy,Drama",6.8,24422,Ricky Gervais,"Christian Cooke,Felicity Jones,Tom Hughes,Jack Doolan,Ricky Gervais"
Yogi Bear,2010,80,"Adventure,Animation,Comedy",4.6,23996,NA,NA
The Yellow Sea,2010,136,"Action,Crime,Drama",7.3,23755,Na Hong-jin,"Ha Jung-woo,Kim Yoon-seok,Jo Sung-ha,Lee Cheol-min,Lee Yoo-mi"
The Trip,2010,112,"Comedy,Drama",7,23738,Michael Winterbottom,"Steve Coogan,Rob Brydon,Rebecca Johnson,Elodie Harrod,Dolya Gavanski"
The Extraordinary Adventures of Adèle Blanc-Sec,2010,107,"Action,Adventure,Comedy",6.3,23566,Luc Besson,"Louise Bourgoin,Mathieu Amalric,Gilles Lellouche,Jean-Paul Rouve,Jacky Nercessian"
Tamara Drewe,2010,107,"Comedy,Drama,Romance",6.2,23052,Stephen Frears,"Gemma Arterton,Luke Evans,Dominic Cooper,Roger Allam,Bill Camp"
Eyyvah Eyvah,2010,104,Comedy,7,22280,Hakan Algül,"Demet Akbag,Ata Demirer,Özge Borak,Bican Günalan,Salih Kalyon"
Recep Ivedik 3,2010,95,Comedy,4.3,22148,Togan Gökbakar,"Sahan Gökbakar,Zeynep Çamci,Sevim Yatlilar,Oktay Dener,Ozcan Aliser"
My Soul to Take,2010,107,"Horror,Mystery,Thriller",4.8,22082,Wes Craven,"Max Thieriot,John Magaro,Denzel Whitaker,Zena Grey,Nick Lashaway"
Henry's Crime,2010,108,"Comedy,Crime,Drama",5.9,21849,Malcolm Venville,"Keanu Reeves,Vera Farmiga,James Caan,Judy Greer,Fisher Stevens"
The Reef,2010,94,"Adventure,Horror,Thriller",5.8,21753,Andrew Traucki,"Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,Zoe Naylor,Kieran Darcy-Smith"
Burke and Hare,2010,91,"Comedy,Crime,History",6.1,21676,John Landis,"Bill Bailey,Tom Wilkinson,Michael Smiley,Tim Curry,Paul Davis"
Bunraku,2010,124,"Action,Drama,Thriller",6.1,20772,Guy Moshe,"Josh Hartnett,Demi Moore,Woody Harrelson,Gackt,Ron Perlman"
Ramona and Beezus,2010,103,"Comedy,Drama,Family",6.5,20677,Elizabeth Allen Rosenbaum,"Joey King,Selena Gomez,Bridget Moynahan,John Corbett,Ginnifer Goodwin"
King of Devil's Island,2010,116,Drama,7.4,20374,Marius Holst,"Benjamin Helstad,Benjamin Helstad,Trond Nilssen,Trond Nilssen,Stellan Skarsgård"
Waiting for Forever,2010,95,"Comedy,Drama,Romance",5.9,20280,James Keach,"Rachel Bilson,Tom Sturridge,Richard Jenkins,Blythe Danner,Matthew Davis"
Guzaarish,2010,126,"Drama,Romance",7.4,20240,Sanjay Leela Bhansali,"Hrithik Roshan,Aishwarya Rai Bachchan,Shernaz Patel,Aditya Roy Kapoor,Nafisa Ali"
Easy Money,2010,124,"Action,Crime,Drama",6.7,20213,Daniel Espinosa,"Joel Kinnaman,Matias Varela,Dragomir Mrsic,Lisa Henni,Mahmut Suvakci"
Raajneeti,2010,163,"Drama,Thriller",7.1,19505,Prakash Jha,"Ajay Devgn,Ranbir Kapoor,Nana Patekar,Katrina Kaif,Katrina Kaif"
Country Strong,2010,117,"Drama,Music",6.3,19224,Shana Feste,"Garrett Hedlund,Gwyneth Paltrow,Leighton Meester,Tim McGraw,Marshall Chapman"
Once Upon a Time in Mumbaai,2010,134,"Action,Crime,Drama",7.4,19201,Milan Luthria,"Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,Randeep Hooda"
And Soon the Darkness,2010,91,"Drama,Horror,Mystery",5.1,19156,Marcos Efron,"Amber Heard,Odette Annable,Karl Urban,Adriana Barraza,César Vianco"
Mother's Day,2010,112,"Drama,Horror,Thriller",6.2,18918,Darren Lynn Bousman,"Rebecca De Mornay,Jaime King,Shawn Ashmore,Briana Evigan,Patrick John Flueger"
Band Baaja Baaraat,2010,139,"Comedy,Drama,Romance",7.2,18736,Maneesh Sharma,"Ranveer Singh,Anushka Sharma,Ranjit Batra,Satender Bhardwaj,Manu Rishi Chadha"
Furry Vengeance,2010,92,"Comedy,Family",3.9,18727,Roger Kumble,"Brendan Fraser,Brooke Shields,Ricky Garcia,Eugene Cordero,Patrice O'Neal"
New Kids Turbo,2010,84,"Action,Comedy",6.4,18401,Steffen Haars,"Huub Smit,Tim Haars,Wesley van Gaalen,Steffen Haars,Flip Van der Kuil"
Cave of Forgotten Dreams,2010,90,"Documentary,History",7.4,18220,Werner Herzog,NA
Sarah's Key,2010,111,"Drama,War",7.5,18206,Gilles Paquet-Brenner,"Kristin Scott Thomas,Mélusine Mayance,Niels Arestrup,Frédéric Pierrot,Michel Duchaussoy"
Uncle Boonmee Who Can Recall His Past Lives,2010,114,"Drama,Fantasy",6.7,18195,Apichatpong Weerasethakul,"Thanapat Saisaymar,Jenjira Pongpas,Jenjira Pongpas,Sakda Kaewbuadee,Sakda Kaewbuadee"
Extraordinary Measures,2010,106,Drama,6.4,18137,Tom Vaughan,"Brendan Fraser,Keri Russell,Harrison Ford,Meredith Droeger,Diego Velazquez"
Marmaduke,2010,87,"Comedy,Family",4.3,18107,Tom Dey,"Owen Wilson,Judy Greer,Lee Pace,Emma Stone,George Lopez"
Bedevilled,2010,115,"Drama,Horror,Thriller",7.2,18099,Cheol-soo Jang,"Seo Young-hee,Ji Seong-won,Min-ho Hwang,Min Je,Lee Ah-In"
Casino Jack,2010,108,"Biography,Comedy,Crime",6.2,17979,George Hickenlooper,"Kevin Spacey,Barry Pepper,Jon Lovitz,Ruth Marshall,Graham Greene"
Beyond the Black Rainbow,2010,110,"Horror,Mystery,Sci-Fi",5.9,17591,Panos Cosmatos,"Eva Bourne,Michael J Rogers,Scott Hylands,Rondel Reynoldson,Marilyn Norry"
Wrecked,2010,91,"Adventure,Drama,Mystery",5.3,17161,Michael Greenspan,"Adrien Brody,Caroline Dhavernas,Ryan Robbins,Adrian G. Griffiths,Adrian Holmes"
Housefull,2010,144,"Comedy,Drama",5.6,16792,Sajid Khan,"Akshay Kumar,Deepika Padukone,Riteish Deshmukh,Lara Dutta,Arjun Rampal"
Cats & Dogs: The Revenge of Kitty Galore,2010,82,"Action,Comedy,Family",4.4,16714,Brad Peyton,"Bette Midler,Chris O'Donnell,Jack McBrayer,James Marsden,Nick Nolte"
Of Gods and Men,2010,122,"Drama,History",7.2,16453,Xavier Beauvois,"Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,Philippe Laudenbach,Jacques Herlin"
Made in Dagenham,2010,113,"Comedy,Drama,History",7.1,16324,Nigel Cole,"Sally Hawkins,Bob Hoskins,Andrea Riseborough,Jaime Winstone,Lorraine Stanley"
Little Big Soldier,2010,96,"Action,Adventure,Comedy",6.8,16308,Sheng Ding,"Jackie Chan,Leehom Wang,Yoo Seung-jun,Peng Lin,Yuming Du"
Just Wright,2010,100,"Comedy,Romance,Sport",5.9,16143,Sanaa Hamri,"Queen Latifah,Common,Paula Patton,James Pickens Jr.,Phylicia Rashad"
Dylan Dog: Dead of Night,2010,107,"Action,Comedy,Crime",5.1,15865,Kevin Munroe,"Brandon Routh,Aníta Briem,Sam Huntington,Taye Diggs,Kurt Angle"
Hatchet II,2010,85,"Action,Comedy,Horror",5.5,15766,Adam Green,"Danielle Harris,Kane Hodder,Kane Hodder,Tony Todd,Parry Shen"
Act of Vengeance,2010,119,"Action,Drama",5.7,15753,Mahsun Kirmizigül,"Haluk Bilginer,Danny Glover,Burak Tut,Gina Gershon,Mahsun Kirmizigül"
Meek's Cutoff,2010,104,"Adventure,Drama,Thriller",6.5,15717,Kelly Reichardt,"Michelle Williams,Bruce Greenwood,Paul Dano,Will Patton,Zoe Kazan"
Womb,2010,111,"Drama,Romance,Sci-Fi",6.3,15682,Benedek Fliegauf,"Eva Green,Matt Smith,Lesley Manville,Peter Wight,István Lénárt"
Harry Potter and the Deathly Hallows: Part 2,2011,130,"Adventure,Family,Fantasy",8.1,991369,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,Ralph Fiennes"
The Intouchables,2011,112,"Comedy,Drama",8.5,972510,Olivier Nakache,"François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot,Joséphine de Meaux"
Thor,2011,115,"Action,Fantasy",7,928985,Kenneth Branagh,"Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,Stellan Skarsgård"
Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi",6.9,927923,Joe Johnston,"Chris Evans,Chris Evans,Hugo Weaving,Hugo Weaving,Samuel L. Jackson"
X-Men: First Class,2011,131,"Action,Sci-Fi",7.7,744264,Matthew Vaughn,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Jennifer Lawrence,Kevin Bacon"
Drive,2011,100,"Action,Drama",7.8,732652,Nicolas Winding Refn,"Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Oscar Isaac"
Limitless,2011,105,"Sci-Fi,Thriller",7.4,627769,Neil Burger,"Bradley Cooper,Anna Friel,Abbie Cornish,Robert De Niro,Andrew Howard"
Rise of the Planet of the Apes,2011,105,"Action,Drama,Sci-Fi",7.6,591202,Rupert Wyatt,"James Franco,Andy Serkis,Freida Pinto,Karin Konoval,Karin Konoval"
"Crazy, Stupid, Love.",2011,118,"Comedy,Drama,Romance",7.4,589122,Glenn Ficarra,"Steve Carell,Ryan Gosling,Julianne Moore,Emma Stone,Lio Tipton"
Pirates of the Caribbean: On Stranger Tides,2011,136,"Action,Adventure,Fantasy",6.6,583784,Rob Marshall,"Johnny Depp,Penélope Cruz,Ian McShane,Geoffrey Rush,Kevin McNally"
Source Code,2011,93,"Action,Drama,Mystery",7.5,565778,Duncan Jones,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Jeffrey Wright,Michael Arden"
The Hangover Part II,2011,102,Comedy,6.5,553787,Todd Phillips,"Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,Ken Jeong"
Mission: Impossible - Ghost Protocol,2011,132,"Action,Adventure,Thriller",7.4,541039,Brad Bird,"Tom Cruise,Jeremy Renner,Simon Pegg,Paula Patton,Michael Nyqvist"
Warrior,2011,140,"Action,Drama,Sport",8.1,512198,Gavin O'Connor,"Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Frank Grillo"
The Girl with the Dragon Tattoo,2011,158,"Crime,Drama,Mystery",7.8,511570,David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,Steven Berkoff"
The Help,2011,146,Drama,8.1,510558,Tate Taylor,"Viola Davis,Emma Stone,Octavia Spencer,Bryce Dallas Howard,Jessica Chastain"
Sherlock Holmes: A Game of Shadows,2011,129,"Action,Adventure,Mystery",7.4,491085,Guy Ritchie,"Robert Downey Jr.,Jude Law,Jared Harris,Rachel McAdams,Noomi Rapace"
Moneyball,2011,133,"Biography,Drama,Sport",7.6,483883,Bennett Miller,"Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,Chris Pratt"
Horrible Bosses,2011,98,"Comedy,Crime",6.9,478271,Seth Gordon,"Jason Bateman,Charlie Day,Jason Sudeikis,Steve Wiebe,Kevin Spacey"
The Cabin in the Woods,2011,95,"Horror,Mystery,Thriller",7,470096,Drew Goddard,"Kristen Connolly,Chris Hemsworth,Anna Hutchison,Fran Kranz,Jesse Williams"
In Time,2011,109,"Action,Sci-Fi,Thriller",6.7,464892,Andrew Niccol,"Justin Timberlake,Amanda Seyfried,Cillian Murphy,Olivia Wilde,Shyloh Oostwald"
Midnight in Paris,2011,94,"Comedy,Fantasy,Romance",7.6,460451,Woody Allen,"Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,Mimi Kennedy"
Transformers: Dark of the Moon,2011,154,"Action,Adventure,Sci-Fi",6.2,442958,Michael Bay,"Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,Josh Duhamel,John Turturro"
Fast Five,2011,130,"Action,Crime,Thriller",7.3,419039,Justin Lin,"Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster,Tyrese Gibson"
Friends with Benefits,2011,109,"Comedy,Romance",6.5,407831,Will Gluck,"Mila Kunis,Justin Timberlake,Patricia Clarkson,Jenna Elfman,Bryan Greenberg"
Super 8,2011,112,"Action,Sci-Fi,Thriller",7,373437,J.J. Abrams,"Elle Fanning,AJ Michalka,Kyle Chandler,Joel Courtney,Jessica Tuck"
Real Steel,2011,127,"Action,Drama,Sci-Fi",7.1,369163,Shawn Levy,"Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,Kevin Durand"
50/50,2011,100,"Comedy,Drama,Romance",7.6,347453,NA,NA
Hugo,2011,126,"Adventure,Drama,Family",7.5,342628,Martin Scorsese,"Asa Butterfield,Chloë Grace Moretz,Christopher Lee,Ben Kingsley,Sacha Baron Cohen"
Kung Fu Panda 2,2011,90,"Action,Adventure,Animation",7.3,337028,NA,NA
Contagion,2011,106,"Drama,Thriller",6.8,323218,Steven Soderbergh,"Matt Damon,Kate Winslet,Jude Law,Gwyneth Paltrow,Tien You Chui"
Bridesmaids,2011,125,Comedy,6.8,316232,Paul Feig,"Kristen Wiig,Maya Rudolph,Rose Byrne,Terry Crews,Tom Yi"
Rango,2011,107,"Action,Adventure,Animation",7.3,303794,Gore Verbinski,"Johnny Depp,Johnny Depp,Isla Fisher,Timothy Olyphant,Abigail Breslin"
Green Lantern,2011,114,"Action,Adventure,Sci-Fi",5.5,302712,Martin Campbell,"Ryan Reynolds,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong"
The Adjustment Bureau,2011,106,"Crime,Drama,Mystery",7,276648,George Nolfi,"Matt Damon,Emily Blunt,Lisa Thoreson,Florence Kastriner,Michael Kelly"
Just Go with It,2011,117,"Comedy,Romance",6.4,276480,Dennis Dugan,"Adam Sandler,Jennifer Aniston,Brooklyn Decker,Nicole Kidman,Nick Swardson"
Paul,2011,104,"Adventure,Comedy,Sci-Fi",6.9,273231,Greg Mottola,"Simon Pegg,Nick Frost,Seth Rogen,Mia Stallard,Jeremy Owen"
Unknown,2011,113,"Action,Mystery,Thriller",6.8,272789,Jaume Collet-Serra,"Liam Neeson,Diane Kruger,January Jones,Aidan Quinn,Bruno Ganz"
The Grey,2011,117,"Action,Adventure,Drama",6.7,268607,Joe Carnahan,"Liam Neeson,Dermot Mulroney,Frank Grillo,Dallas Roberts,Joe Anderson"
A Separation,2011,123,Drama,8.3,268099,Asghar Farhadi,"Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,Sarina Farhadi"
The Twilight Saga: Breaking Dawn - Part 1,2011,117,"Adventure,Drama,Fantasy",4.9,262290,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner,Gil Birmingham,Billy Burke"
The Lincoln Lawyer,2011,118,"Crime,Drama,Mystery",7.3,261442,Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe,William H. Macy,Josh Lucas"
Rio,2011,96,"Adventure,Animation,Comedy",6.9,259901,Carlos Saldanha,"Jesse Eisenberg,Anne Hathaway,George Lopez,Karen Disher,Jason Fricchione"
Sucker Punch,2011,110,"Action,Adventure,Fantasy",6.1,256457,Zack Snyder,"Emily Browning,Vanessa Hudgens,Abbie Cornish,Jena Malone,Jamie Chung"
The Descendants,2011,115,"Comedy,Drama",7.3,255896,Alexander Payne,"George Clooney,Shailene Woodley,Amara Miller,Nick Krause,Patricia Hastie"
The Artist,2011,100,"Comedy,Drama,Romance",7.8,251915,Michel Hazanavicius,"Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,Penelope Ann Miller"
I Am Number Four,2011,111,"Action,Adventure,Sci-Fi",6.1,249495,D.J. Caruso,"Alex Pettyfer,Timothy Olyphant,Dianna Agron,Teresa Palmer,Callan McAuliffe"
No Strings Attached,2011,108,"Comedy,Romance",6.2,249440,Ivan Reitman,"Natalie Portman,Ashton Kutcher,Kevin Kline,Cary Elwes,Greta Gerwig"
The Adventures of Tintin,2011,107,"Action,Adventure,Animation",7.3,248500,Steven Spielberg,"Jamie Bell,Andy Serkis,Andy Serkis,Daniel Craig,Daniel Craig"
Cowboys & Aliens,2011,119,"Action,Drama,Sci-Fi",6,236895,Jon Favreau,"Daniel Craig,Harrison Ford,Olivia Wilde,Abigail Spencer,Buck Taylor"
The Ides of March,2011,101,"Drama,Thriller",7.1,235046,George Clooney,"Paul Giamatti,George Clooney,Philip Seymour Hoffman,Ryan Gosling,Evan Rachel Wood"
Cars 2,2011,106,"Adventure,Animation,Comedy",6.2,234017,John Lasseter,"Owen Wilson,Larry the Cable Guy,Michael Caine,Emily Mortimer,Eddie Izzard"
The Raid: Redemption,2011,101,"Action,Crime,Thriller",7.6,223048,Gareth Evans,"Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,Joe Taslim"
Tinker Tailor Soldier Spy,2011,127,"Drama,Mystery,Thriller",7,219121,Tomas Alfredson,"Gary Oldman,Colin Firth,Tom Hardy,Mark Strong,John Hurt"
Bad Teacher,2011,92,"Comedy,Romance",5.7,216992,Jake Kasdan,"Cameron Diaz,Jason Segel,Justin Timberlake,Lucy Punch,Phyllis Smith"
Shame,2011,101,Drama,7.2,210967,Steve McQueen,"Michael Fassbender,Carey Mulligan,James Badge Dale,Lucy Walters,Mari-Ange Ramirez"
Hanna,2011,111,"Action,Adventure,Drama",6.7,210514,Joe Wright,"Saoirse Ronan,Cate Blanchett,Eric Bana,Vicky Krieps,Paris Arrowsmith"
Melancholia,2011,135,"Drama,Sci-Fi",7.1,201647,Lars von Trier,"Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,Alexander Skarsgård,Brady Corbet"
Puss in Boots,2011,90,"Action,Adventure,Animation",6.6,200654,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis,Billy Bob Thornton,Amy Sedaris"
The Change-Up,2011,112,"Comedy,Fantasy",6.3,200613,David Dobkin,"Jason Bateman,Ryan Reynolds,Olivia Wilde,Leslie Mann,Alan Arkin"
The Tree of Life,2011,139,"Drama,Fantasy",6.8,187592,Terrence Malick,"Brad Pitt,Sean Penn,Jessica Chastain,Hunter McCracken,Laramie Eppler"
Battle Los Angeles,2011,116,"Action,Adventure,Sci-Fi",5.7,187313,Jonathan Liebesman,"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan,Ramón Rodríguez,Will Rothhaar"
Immortals,2011,110,"Action,Drama,Fantasy",6,179859,Tarsem Singh,"Henry Cavill,Mickey Rourke,John Hurt,Stephen Dorff,Freida Pinto"
Scream 4,2011,111,"Horror,Mystery",6.2,179633,Wes Craven,"Neve Campbell,Courteney Cox,David Arquette,Lucy Hale,Roger Jackson"
The Mechanic,2011,93,"Action,Crime,Thriller",6.5,177805,Simon West,"Jason Statham,Ben Foster,Donald Sutherland,Tony Goldwyn,Jeff Chase"
One Day,2011,107,"Drama,Romance",7,174215,Lone Scherfig,"Anne Hathaway,Jim Sturgess,Patricia Clarkson,Tom Mison,Jodie Whittaker"
We Need to Talk About Kevin,2011,112,"Drama,Mystery,Thriller",7.4,173950,Lynne Ramsay,"Tilda Swinton,John C. Reilly,Ezra Miller,Jasper Newell,Rocky Duer"
The Skin I Live In,2011,120,"Drama,Mystery,Thriller",7.6,173388,Pedro Almodóvar,"Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,Roberto Álamo"
War Horse,2011,146,"Adventure,Drama,War",7.2,169101,Steven Spielberg,"Jeremy Irvine,Emily Watson,David Thewlis,Benedict Cumberbatch,Peter Mullan"
The Green Hornet,2011,119,"Action,Comedy,Crime",5.8,166598,Michel Gondry,"Seth Rogen,Seth Rogen,Jay Chou,Christoph Waltz,Cameron Diaz"
We Bought a Zoo,2011,124,"Comedy,Drama,Family",7,155678,Cameron Crowe,"Matt Damon,Scarlett Johansson,Thomas Haden Church,Elle Fanning,Colin Ford"
Tower Heist,2011,104,"Action,Comedy,Crime",6.2,153980,Brett Ratner,"Eddie Murphy,Ben Stiller,Casey Affleck,Alan Alda,Matthew Broderick"
Margin Call,2011,107,"Drama,Thriller",7.1,151961,J.C. Chandor,"Zachary Quinto,Stanley Tucci,Kevin Spacey,Paul Bettany,Jeremy Irons"
The Thing,2011,103,"Horror,Mystery,Sci-Fi",6.2,149961,Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead,Joel Edgerton,Ulrich Thomsen,Eric Christian Olsen,Adewale Akinnuoye-Agbaje"
Johnny English Reborn,2011,101,"Action,Adventure,Comedy",6.3,145082,Oliver Parker,"Rowan Atkinson,Rosamund Pike,Dominic West,Roger Barclay,Eric Carte"
Killer Elite,2011,116,"Action,Crime,Thriller",6.4,137819,Gary McKendry,"Jason Statham,Clive Owen,Robert De Niro,Dominic Purcell,Aden Young"
J. Edgar,2011,137,"Biography,Drama,Romance",6.5,135587,Clint Eastwood,"Leonardo DiCaprio,Armie Hammer,Naomi Watts,Josh Hamilton,Geoff Pierson"
Carnage,2011,80,"Comedy,Drama",7.1,135548,Roman Polanski,"Jodie Foster,Kate Winslet,Christoph Waltz,John C. Reilly,Elvis Polanski"
Hall Pass,2011,105,"Comedy,Romance",5.9,133399,Bobby Farrelly,"Owen Wilson,Jason Sudeikis,Christina Applegate,Jenna Fischer,Nicky Whelan"
Final Destination 5,2011,92,"Horror,Thriller",5.9,131293,Steven Quale,"Nicholas D'Agosto,Emma Bell,Arlen Escarpeta,Miles Fisher,Ellen Wroe"
Ghost Rider: Spirit of Vengeance,2011,96,"Action,Fantasy,Thriller",4.3,129944,Mark Neveldine,"Nicolas Cage,Nicolas Cage,Ciarán Hinds,Idris Elba,Violante Placido"
Priest,2011,87,"Action,Fantasy,Horror",5.7,126434,Scott Stewart,"Paul Bettany,Cam Gigandet,Maggie Q,Karl Urban,Lily Collins"
Water for Elephants,2011,120,"Drama,Romance",6.9,122187,Francis Lawrence,"Robert Pattinson,Reese Witherspoon,Christoph Waltz,Paul Schneider,Jim Norton"
Red Riding Hood,2011,100,"Fantasy,Horror,Mystery",5.4,117529,Catherine Hardwicke,"Amanda Seyfried,Lukas Haas,Gary Oldman,Billy Burke,Shiloh Fernandez"
Fright Night,2011,106,"Action,Comedy,Drama",6.4,116514,Craig Gillespie,"Anton Yelchin,Colin Farrell,David Tennant,Toni Collette,Imogen Poots"
The Iron Lady,2011,105,"Biography,Drama",6.4,115050,Phyllida Lloyd,"Meryl Streep,Jim Broadbent,Richard E. Grant,Susan Brown,Alice da Cunha"
You're Next,2011,95,"Drama,Horror,Mystery",6.6,114802,Adam Wingard,"Sharni Vinson,Joe Swanberg,AJ Bowen,Nicholas Tucci,Wendy Glenn"
The Three Musketeers,2011,110,"Action,Adventure,Fantasy",5.7,113776,Paul W.S. Anderson,"Logan Lerman,Matthew Macfadyen,Ray Stevenson,Milla Jovovich,Helen George"
Attack the Block,2011,88,"Action,Adventure,Comedy",6.7,113392,Joe Cornish,"John Boyega,Jodie Whittaker,Alex Esmail,Leeon Jones,Franz Drameh"
Take Shelter,2011,120,"Drama,Thriller",7.3,112122,Jeff Nichols,"Michael Shannon,Jessica Chastain,Shea Whigham,Tova Stewart,Katy Mixon Greer"
Colombiana,2011,108,"Action,Crime,Drama",6.4,111207,Olivier Megaton,"Zoe Saldaña,Michael Vartan,Callum Blue,Jordi Mollà,Lennie James"
A Dangerous Method,2011,99,"Biography,Drama,Romance",6.4,110206,David Cronenberg,"Michael Fassbender,Keira Knightley,Viggo Mortensen,Vincent Cassel,Sarah Gadon"
Headhunters,2011,100,"Action,Crime,Thriller",7.5,109149,Morten Tyldum,"Aksel Hennie,Synnøve Macody Lund,Nikolaj Coster-Waldau,Julie R. Ølgaard,Eivind Sander"
The Rum Diary,2011,119,"Comedy,Drama",6.1,109116,Bruce Robinson,"Johnny Depp,Giovanni Ribisi,Aaron Eckhart,Michael Rispoli,Amber Heard"
Mr. Popper's Penguins,2011,94,"Comedy,Family,Fantasy",6,108989,Mark Waters,"Jim Carrey,Carla Gugino,Angela Lansbury,Ophelia Lovibond,Madeline Carroll"
30 Minutes or Less,2011,83,"Action,Comedy,Crime",6,108051,Ruben Fleischer,"Jesse Eisenberg,Danny McBride,Nick Swardson,Aziz Ansari,Dilshad Vadsaria"
Extremely Loud & Incredibly Close,2011,129,"Adventure,Drama,Mystery",6.9,106454,Stephen Daldry,"Thomas Horn,Tom Hanks,Sandra Bullock,Max von Sydow,Zoe Caldwell"
Your Highness,2011,102,"Action,Adventure,Comedy",5.5,105939,David Gordon Green,"Danny McBride,Natalie Portman,James Franco,Rasmus Hardiker,Toby Jones"
Drive Angry,2011,104,"Action,Comedy,Fantasy",5.4,104964,Patrick Lussier,"Nicolas Cage,Amber Heard,William Fichtner,Billy Burke,David Morse"
